code,name,description,refreshed_at,from_date,to_date
BIGMAC_ARE,Big Mac Index - United Arab Emirates,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2018-07-31,2022-01-31
BIGMAC_ARG,Big Mac Index - Argentina,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2000-04-30,2022-01-31
BIGMAC_AUS,Big Mac Index - Australia,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2000-04-30,2022-01-31
BIGMAC_AUT,Big Mac Index - Austria,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued. ",2018-05-23 14:13:25,2011-07-31,2018-01-31
BIGMAC_AZE,Big Mac Index - Azerbaijan,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2018-07-31,2022-01-31
BIGMAC_BEL,Big Mac Index - Belgium,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued. ",2018-05-23 14:13:25,2011-07-31,2018-01-31
BIGMAC_BHR,Big Mac Index - Bahrain,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2018-07-31,2022-01-31
BIGMAC_BRA,Big Mac Index - Brazil,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2000-04-30,2022-01-31
BIGMAC_CAN,Big Mac Index - Canada,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2000-04-30,2022-01-31
BIGMAC_CHE,Big Mac Index - Switzerland,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2000-04-30,2022-01-31
BIGMAC_CHL,Big Mac Index - Chile,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2000-04-30,2022-01-31
BIGMAC_CHN,Big Mac Index - China,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2000-04-30,2022-01-31
BIGMAC_COL,Big Mac Index - Colombia,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2000-04-30,2022-01-31
BIGMAC_CRI,Big Mac Index - Costa Rica,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2000-04-30,2022-01-31
BIGMAC_CZE,Big Mac Index - Czech Republic,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2000-04-30,2022-01-31
BIGMAC_DEU,Big Mac Index - Germany,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued. ",2018-05-23 14:13:25,2011-07-31,2018-01-31
BIGMAC_DNK,Big Mac Index - Denmark,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2000-04-30,2022-01-31
BIGMAC_EGY,Big Mac Index - Egypt,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2000-04-30,2022-01-31
